"id","age","gender","education","baseline_vaccine_attitude","baseline_vaccination_status"
2613,60,"Male","Graduate Degree","Okay","Yes"
2614,54,"Non-binary","Associate Degree","Okay","Yes"
2615,18,"Non-binary","Bachelor's Degree","Okay","Yes"
2616,51,"Non-binary","High School","Terrible","No"
2617,56,"Non-binary","Bachelor's Degree","Okay","Yes"
2618,18,"Male","Bachelor's Degree","Terrible","Yes"
2619,35,"Male","Associate Degree","Bad","No"
2620,73,"Female","Bachelor's Degree","Okay","No"
2621,50,"Female","Bachelor's Degree","Terrible","No"
2622,58,"Non-binary","Graduate Degree","Terrible","Yes"
2623,75,"Female","High School","Good","Yes"
2624,43,"Female","Associate Degree","Good","Yes"
2625,45,"Male","Associate Degree","Okay","No"
2626,62,"Non-binary","Bachelor's Degree","Excellent","No"
2627,40,"Male","High School","Okay","Yes"
2628,48,"Male","Graduate Degree","Terrible","No"
2629,29,"Male","Graduate Degree","Good","Yes"
2630,24,"Non-binary","Bachelor's Degree","Good","No"
2631,39,"Non-binary","High School","Excellent","No"
2632,29,"Female","Bachelor's Degree","Bad","No"
2633,56,"Female","High School","Okay","No"
2634,27,"Female","Associate Degree","Good","No"
2635,24,"Male","Bachelor's Degree","Good","Yes"
2636,22,"Male","Bachelor's Degree","Excellent","Yes"
2637,63,"Non-binary","Bachelor's Degree","Okay","Yes"
2638,32,"Male","High School","Good","No"
2639,28,"Male","Bachelor's Degree","Excellent","No"
2640,37,"Female","Bachelor's Degree","Bad","Yes"
2641,30,"Non-binary","Bachelor's Degree","Good","No"
2642,73,"Male","High School","Okay","Yes"
2643,54,"Female","Graduate Degree","Okay","No"
2644,25,"Non-binary","Bachelor's Degree","Okay","No"
2645,46,"Female","Bachelor's Degree","Terrible","Yes"
2646,45,"Female","Bachelor's Degree","Bad","Yes"
2647,62,"Non-binary","Bachelor's Degree","Terrible","Yes"
2648,34,"Male","Associate Degree","Excellent","Yes"
2649,56,"Female","High School","Bad","No"
2650,63,"Female","Associate Degree","Good","No"
2651,80,"Male","Bachelor's Degree","Terrible","No"
2652,39,"Male","Bachelor's Degree","Bad","No"
2653,41,"Non-binary","High School","Terrible","Yes"
2654,65,"Female","Graduate Degree","Good","No"
2655,46,"Female","Associate Degree","Excellent","Yes"
2656,44,"Non-binary","Graduate Degree","Good","No"
2657,68,"Male","Associate Degree","Terrible","Yes"
2658,58,"Male","Graduate Degree","Terrible","Yes"
2659,40,"Female","Graduate Degree","Bad","No"
2660,18,"Male","High School","Bad","Yes"
2661,38,"Female","High School","Okay","No"
2662,63,"Non-binary","Bachelor's Degree","Good","Yes"
2663,30,"Female","High School","Good","No"
2664,18,"Male","Associate Degree","Excellent","No"
2665,45,"Female","High School","Okay","No"
2666,28,"Male","Associate Degree","Bad","Yes"
2667,38,"Male","Graduate Degree","Bad","Yes"
2668,38,"Male","High School","Good","Yes"
2669,18,"Female","Bachelor's Degree","Okay","No"
2670,36,"Non-binary","Graduate Degree","Okay","No"
2671,30,"Non-binary","Graduate Degree","Good","Yes"
2672,36,"Female","Graduate Degree","Okay","No"
2673,29,"Male","Associate Degree","Okay","No"
2674,31,"Non-binary","Graduate Degree","Terrible","Yes"
2675,29,"Non-binary","Graduate Degree","Excellent","Yes"
2676,76,"Female","Associate Degree","Bad","Yes"
2677,52,"Female","Associate Degree","Terrible","Yes"
2678,46,"Female","Bachelor's Degree","Okay","No"
2679,74,"Male","Associate Degree","Okay","No"
2680,22,"Female","Bachelor's Degree","Okay","No"
2681,51,"Non-binary","Associate Degree","Terrible","No"
2682,20,"Male","Associate Degree","Okay","No"
2683,30,"Male","Graduate Degree","Excellent","Yes"
2684,50,"Non-binary","High School","Terrible","Yes"
2685,29,"Non-binary","Bachelor's Degree","Good","No"
2686,30,"Non-binary","Associate Degree","Okay","No"
2687,69,"Male","Associate Degree","Terrible","No"
2688,72,"Female","High School","Good","Yes"
2689,25,"Non-binary","Bachelor's Degree","Okay","Yes"
2690,39,"Female","Graduate Degree","Excellent","No"
2691,60,"Female","Associate Degree","Terrible","No"
2692,18,"Non-binary","Associate Degree","Good","Yes"
2693,31,"Non-binary","Bachelor's Degree","Bad","Yes"
2694,59,"Male","Graduate Degree","Good","Yes"
2695,48,"Female","Associate Degree","Good","Yes"
2696,34,"Male","High School","Excellent","No"
2697,20,"Male","Bachelor's Degree","Bad","Yes"
2698,56,"Male","Bachelor's Degree","Okay","No"
2699,69,"Female","Bachelor's Degree","Okay","No"
2700,18,"Male","Associate Degree","Terrible","No"
2701,32,"Non-binary","Bachelor's Degree","Good","No"
2702,79,"Non-binary","Bachelor's Degree","Excellent","Yes"
2703,50,"Female","Graduate Degree","Okay","Yes"
2704,36,"Female","Graduate Degree","Okay","No"
2705,18,"Non-binary","Bachelor's Degree","Okay","Yes"
2706,33,"Female","Bachelor's Degree","Okay","Yes"
2707,55,"Non-binary","High School","Okay","No"
2708,44,"Male","Bachelor's Degree","Okay","Yes"
2709,31,"Non-binary","Bachelor's Degree","Bad","No"
2710,22,"Non-binary","Associate Degree","Terrible","Yes"
2711,38,"Female","Bachelor's Degree","Terrible","Yes"
2712,18,"Male","High School","Bad","No"
2713,80,"Male","High School","Bad","No"
2714,71,"Male","Bachelor's Degree","Terrible","No"
2715,54,"Female","Associate Degree","Terrible","No"
2716,42,"Male","Associate Degree","Excellent","No"
2717,31,"Male","Bachelor's Degree","Excellent","No"
2718,77,"Male","Bachelor's Degree","Bad","Yes"
2719,18,"Female","Associate Degree","Okay","Yes"
2720,59,"Male","Associate Degree","Okay","Yes"
2721,45,"Male","Associate Degree","Excellent","Yes"
2722,57,"Female","Graduate Degree","Bad","No"
2723,68,"Female","Bachelor's Degree","Okay","No"
2724,40,"Female","Bachelor's Degree","Excellent","No"
2725,44,"Female","Graduate Degree","Bad","No"
2726,18,"Female","Associate Degree","Excellent","No"
2727,37,"Non-binary","Bachelor's Degree","Excellent","Yes"
2728,57,"Female","Graduate Degree","Bad","No"
2729,80,"Male","Associate Degree","Excellent","Yes"
2730,18,"Non-binary","Bachelor's Degree","Okay","Yes"
2731,45,"Male","High School","Okay","Yes"
2732,40,"Non-binary","Graduate Degree","Okay","No"
2733,68,"Female","Associate Degree","Terrible","No"
2734,35,"Non-binary","Graduate Degree","Bad","No"
2735,40,"Female","Associate Degree","Okay","Yes"
2736,21,"Female","Associate Degree","Excellent","No"
2737,40,"Female","Associate Degree","Bad","Yes"
2738,18,"Male","Bachelor's Degree","Okay","Yes"
2739,37,"Male","Associate Degree","Okay","Yes"
2740,28,"Male","Bachelor's Degree","Bad","No"
2741,37,"Female","Bachelor's Degree","Okay","Yes"
2742,26,"Female","Graduate Degree","Okay","No"
2743,73,"Female","Graduate Degree","Bad","No"
2744,29,"Non-binary","High School","Good","Yes"
2745,39,"Non-binary","Graduate Degree","Bad","Yes"
2746,32,"Male","Associate Degree","Good","Yes"
2747,54,"Male","High School","Okay","No"
2748,65,"Male","High School","Good","No"
2749,33,"Male","High School","Okay","Yes"
2750,19,"Non-binary","Associate Degree","Bad","No"
2751,48,"Non-binary","High School","Okay","Yes"
2752,51,"Non-binary","Graduate Degree","Okay","Yes"
2753,33,"Female","Associate Degree","Bad","Yes"
2754,54,"Female","Associate Degree","Okay","Yes"
2755,44,"Male","Bachelor's Degree","Okay","No"
2756,18,"Male","Associate Degree","Terrible","No"
2757,52,"Female","Bachelor's Degree","Excellent","Yes"
2758,18,"Female","Bachelor's Degree","Excellent","Yes"
2759,66,"Male","Associate Degree","Okay","Yes"
2760,47,"Female","Associate Degree","Excellent","No"
2761,73,"Female","Bachelor's Degree","Bad","No"
2762,38,"Non-binary","Associate Degree","Okay","No"
2763,18,"Non-binary","High School","Okay","No"
2764,18,"Female","Bachelor's Degree","Okay","Yes"
2765,66,"Male","Bachelor's Degree","Terrible","Yes"
2766,28,"Male","Graduate Degree","Bad","Yes"
2767,20,"Male","Associate Degree","Excellent","Yes"
2768,46,"Female","Bachelor's Degree","Good","Yes"
2769,35,"Female","Bachelor's Degree","Terrible","Yes"
2770,19,"Male","Graduate Degree","Excellent","No"
2771,18,"Female","Bachelor's Degree","Okay","No"
2772,31,"Male","High School","Bad","Yes"
2773,47,"Female","Associate Degree","Good","No"
2774,33,"Non-binary","High School","Okay","Yes"
2775,37,"Female","Graduate Degree","Good","Yes"
2776,31,"Male","Graduate Degree","Bad","Yes"
2777,45,"Non-binary","Bachelor's Degree","Bad","Yes"
2778,54,"Non-binary","Graduate Degree","Okay","Yes"
2779,67,"Female","Bachelor's Degree","Good","Yes"
2780,18,"Female","Graduate Degree","Okay","Yes"
2781,44,"Male","Graduate Degree","Bad","No"
2782,35,"Male","Associate Degree","Good","No"
2783,61,"Non-binary","Graduate Degree","Okay","Yes"
2784,80,"Female","High School","Excellent","No"
2785,40,"Female","Graduate Degree","Good","No"
2786,49,"Female","Bachelor's Degree","Okay","Yes"
2787,61,"Female","High School","Okay","Yes"
2788,70,"Male","Bachelor's Degree","Excellent","No"
2789,64,"Male","Bachelor's Degree","Excellent","Yes"
2790,18,"Female","Bachelor's Degree","Bad","No"
2791,18,"Non-binary","High School","Bad","No"
2792,34,"Male","High School","Bad","No"
2793,78,"Female","Associate Degree","Good","Yes"
2794,43,"Female","Graduate Degree","Bad","Yes"
2795,42,"Non-binary","Graduate Degree","Good","Yes"
2796,42,"Non-binary","Associate Degree","Excellent","No"
2797,52,"Non-binary","Graduate Degree","Good","No"
2798,65,"Non-binary","Associate Degree","Bad","No"
2799,60,"Non-binary","Associate Degree","Okay","No"
2800,18,"Female","High School","Okay","Yes"
2801,18,"Male","Associate Degree","Okay","No"
2802,38,"Male","Graduate Degree","Bad","Yes"
2803,55,"Male","Bachelor's Degree","Okay","No"
2804,18,"Female","Bachelor's Degree","Okay","Yes"
2805,54,"Non-binary","Bachelor's Degree","Okay","Yes"
2806,19,"Male","High School","Okay","Yes"
2807,45,"Female","Associate Degree","Okay","Yes"
2808,40,"Male","Associate Degree","Good","Yes"
2809,18,"Female","Associate Degree","Bad","No"
2810,75,"Male","Associate Degree","Good","Yes"
2811,54,"Male","Associate Degree","Good","Yes"
2812,80,"Female","High School","Okay","Yes"
2813,54,"Non-binary","High School","Okay","No"
2814,33,"Non-binary","Associate Degree","Excellent","Yes"
2815,37,"Male","Bachelor's Degree","Excellent","Yes"
2816,29,"Male","Associate Degree","Bad","Yes"
2817,18,"Female","Bachelor's Degree","Good","Yes"
2818,18,"Non-binary","Graduate Degree","Terrible","No"
2819,40,"Female","High School","Terrible","Yes"
2820,71,"Non-binary","Associate Degree","Okay","Yes"
2821,48,"Non-binary","High School","Bad","Yes"
2822,34,"Female","Graduate Degree","Okay","Yes"
2823,56,"Male","High School","Okay","Yes"
2824,44,"Male","Graduate Degree","Bad","Yes"
2825,52,"Non-binary","High School","Okay","Yes"
2826,50,"Male","Graduate Degree","Okay","Yes"
2827,37,"Female","Graduate Degree","Terrible","No"
2828,61,"Female","Associate Degree","Good","No"
2829,46,"Female","High School","Good","No"
2830,18,"Male","High School","Good","No"
2831,53,"Male","High School","Okay","No"
2832,79,"Male","High School","Bad","Yes"
2833,46,"Non-binary","Graduate Degree","Bad","No"
2834,80,"Male","High School","Good","No"
2835,50,"Male","Graduate Degree","Excellent","Yes"
2836,51,"Female","Bachelor's Degree","Good","Yes"
2837,35,"Female","Associate Degree","Okay","Yes"
2838,18,"Female","Graduate Degree","Terrible","No"
2839,18,"Female","High School","Bad","No"
2840,36,"Male","Graduate Degree","Bad","Yes"
2841,18,"Non-binary","Bachelor's Degree","Terrible","Yes"
2842,18,"Male","Bachelor's Degree","Bad","Yes"
2843,39,"Female","High School","Excellent","No"
2844,28,"Female","Associate Degree","Okay","No"
2845,80,"Male","High School","Excellent","No"
2846,42,"Female","Bachelor's Degree","Terrible","Yes"
2847,49,"Female","Graduate Degree","Okay","No"
2848,50,"Female","Graduate Degree","Terrible","Yes"
2849,41,"Male","High School","Bad","Yes"
2850,53,"Male","Associate Degree","Okay","No"
2851,51,"Male","High School","Bad","No"
2852,55,"Non-binary","Bachelor's Degree","Bad","No"
2853,60,"Non-binary","Bachelor's Degree","Good","No"
2854,61,"Male","Associate Degree","Okay","Yes"
2855,41,"Female","Bachelor's Degree","Bad","No"
2856,18,"Non-binary","Associate Degree","Okay","No"
2857,18,"Non-binary","Bachelor's Degree","Okay","Yes"
2858,31,"Male","Graduate Degree","Okay","No"
2859,18,"Female","High School","Okay","Yes"
2860,34,"Female","Graduate Degree","Good","Yes"
2861,35,"Non-binary","High School","Okay","No"
2862,46,"Female","Graduate Degree","Good","Yes"
2863,73,"Non-binary","Associate Degree","Excellent","Yes"
2864,74,"Non-binary","Bachelor's Degree","Okay","Yes"
2865,58,"Male","Bachelor's Degree","Bad","No"
2866,45,"Male","Bachelor's Degree","Terrible","No"
2867,48,"Non-binary","Graduate Degree","Terrible","No"
2868,39,"Non-binary","Bachelor's Degree","Terrible","No"
2869,18,"Non-binary","Graduate Degree","Bad","No"
2870,79,"Female","Graduate Degree","Terrible","Yes"
2871,64,"Male","Graduate Degree","Excellent","No"
2872,63,"Female","Graduate Degree","Good","Yes"
2873,30,"Female","High School","Good","No"
2874,52,"Male","Graduate Degree","Okay","No"
2875,50,"Male","Associate Degree","Terrible","Yes"
2876,18,"Male","Graduate Degree","Excellent","Yes"
2877,37,"Female","Bachelor's Degree","Bad","Yes"
2878,48,"Female","Bachelor's Degree","Terrible","Yes"
2879,48,"Male","High School","Okay","Yes"
2880,27,"Non-binary","Bachelor's Degree","Bad","No"
2881,78,"Female","Associate Degree","Good","Yes"
2882,77,"Non-binary","Graduate Degree","Terrible","Yes"
2883,54,"Female","Bachelor's Degree","Bad","No"
2884,27,"Non-binary","Associate Degree","Okay","Yes"
2885,21,"Female","Associate Degree","Bad","No"
2886,18,"Female","Bachelor's Degree","Okay","No"
2887,27,"Female","Associate Degree","Okay","No"
2888,18,"Non-binary","Bachelor's Degree","Bad","No"
2889,50,"Male","Associate Degree","Terrible","Yes"
2890,18,"Non-binary","Bachelor's Degree","Excellent","Yes"
2891,18,"Female","High School","Terrible","No"
2892,54,"Male","Bachelor's Degree","Good","Yes"
2893,48,"Non-binary","Bachelor's Degree","Okay","Yes"
2894,63,"Non-binary","Bachelor's Degree","Okay","No"
2895,50,"Female","Graduate Degree","Okay","Yes"
2896,39,"Non-binary","Bachelor's Degree","Good","No"
2897,49,"Non-binary","Associate Degree","Terrible","No"
2898,18,"Female","Associate Degree","Okay","No"
2899,42,"Male","Bachelor's Degree","Terrible","Yes"
2900,44,"Male","Associate Degree","Good","No"
2901,56,"Male","High School","Good","No"
2902,39,"Male","Associate Degree","Bad","Yes"
2903,42,"Non-binary","Associate Degree","Good","No"
2904,18,"Female","High School","Good","Yes"
2905,51,"Non-binary","Bachelor's Degree","Okay","Yes"
2906,18,"Male","Associate Degree","Terrible","No"
2907,44,"Male","Bachelor's Degree","Bad","Yes"
2908,48,"Non-binary","High School","Okay","No"
2909,69,"Female","High School","Excellent","Yes"
2910,59,"Female","Associate Degree","Terrible","Yes"
2911,60,"Non-binary","Graduate Degree","Okay","Yes"
2912,18,"Male","High School","Okay","No"
2913,72,"Female","Associate Degree","Okay","Yes"
2914,31,"Non-binary","Associate Degree","Terrible","Yes"
2915,80,"Female","Bachelor's Degree","Terrible","No"
2916,27,"Non-binary","Bachelor's Degree","Okay","Yes"
2917,18,"Non-binary","Associate Degree","Bad","No"
2918,54,"Male","Associate Degree","Terrible","Yes"
2919,40,"Female","Bachelor's Degree","Excellent","Yes"
2920,65,"Non-binary","Graduate Degree","Terrible","No"
2921,30,"Non-binary","Bachelor's Degree","Terrible","No"
2922,21,"Non-binary","Associate Degree","Terrible","Yes"
2923,55,"Male","Graduate Degree","Bad","Yes"
2924,35,"Female","Associate Degree","Good","Yes"
2925,62,"Female","Graduate Degree","Good","Yes"
2926,53,"Female","Associate Degree","Bad","No"
2927,35,"Male","Associate Degree","Okay","Yes"
2928,44,"Male","High School","Bad","No"
2929,47,"Male","Graduate Degree","Bad","No"
2930,18,"Female","Bachelor's Degree","Good","Yes"
2931,28,"Non-binary","Associate Degree","Excellent","Yes"
2932,46,"Male","Associate Degree","Terrible","Yes"
2933,77,"Male","Bachelor's Degree","Good","No"
2934,56,"Male","Graduate Degree","Okay","Yes"
2935,50,"Female","High School","Good","No"
2936,59,"Male","Associate Degree","Good","No"
2937,49,"Non-binary","Bachelor's Degree","Okay","No"
2938,27,"Female","Associate Degree","Okay","Yes"
2939,64,"Female","High School","Okay","Yes"
2940,18,"Female","Bachelor's Degree","Good","Yes"
2941,20,"Non-binary","Bachelor's Degree","Terrible","Yes"
2942,46,"Female","Graduate Degree","Excellent","Yes"
2943,74,"Female","High School","Terrible","Yes"
2944,29,"Non-binary","Graduate Degree","Good","Yes"
2945,61,"Female","High School","Good","Yes"
2946,36,"Non-binary","Bachelor's Degree","Terrible","Yes"
2947,50,"Female","Graduate Degree","Good","No"
2948,18,"Non-binary","Bachelor's Degree","Terrible","Yes"
2949,19,"Male","Associate Degree","Bad","No"
2950,78,"Non-binary","Associate Degree","Terrible","No"
2951,40,"Non-binary","Graduate Degree","Okay","Yes"
2952,41,"Non-binary","Bachelor's Degree","Okay","Yes"
2953,18,"Non-binary","Graduate Degree","Okay","No"
2954,64,"Female","Associate Degree","Bad","Yes"
2955,37,"Non-binary","Associate Degree","Bad","Yes"
2956,49,"Non-binary","Bachelor's Degree","Excellent","Yes"
2957,47,"Non-binary","Bachelor's Degree","Excellent","Yes"
2958,48,"Female","Associate Degree","Good","Yes"
2959,32,"Male","Associate Degree","Okay","No"
2960,78,"Female","Bachelor's Degree","Excellent","Yes"
2961,43,"Male","Associate Degree","Bad","No"
2962,37,"Female","Associate Degree","Terrible","Yes"
2963,72,"Female","Bachelor's Degree","Bad","No"
2964,33,"Female","Associate Degree","Good","No"
2965,18,"Non-binary","Bachelor's Degree","Excellent","Yes"
2966,18,"Female","Bachelor's Degree","Good","No"
2967,38,"Male","Bachelor's Degree","Terrible","Yes"
2968,28,"Female","Associate Degree","Okay","Yes"
2969,36,"Non-binary","Bachelor's Degree","Excellent","Yes"
2970,42,"Male","High School","Excellent","No"
2971,80,"Female","Graduate Degree","Terrible","Yes"
2972,53,"Female","Associate Degree","Good","Yes"
2973,36,"Male","Graduate Degree","Good","No"
2974,65,"Female","Associate Degree","Okay","No"
2975,34,"Male","High School","Terrible","No"
2976,50,"Male","Associate Degree","Okay","No"
2977,63,"Male","Associate Degree","Okay","No"
2978,38,"Non-binary","High School","Excellent","Yes"
2979,18,"Male","High School","Good","Yes"
2980,30,"Male","Bachelor's Degree","Okay","Yes"
2981,77,"Male","Associate Degree","Bad","Yes"
2982,36,"Female","Bachelor's Degree","Okay","No"
2983,63,"Male","Graduate Degree","Good","No"
2984,49,"Non-binary","High School","Good","No"
2985,41,"Female","Graduate Degree","Terrible","No"
2986,18,"Female","Graduate Degree","Okay","Yes"
2987,54,"Female","Bachelor's Degree","Bad","No"
2988,28,"Female","Graduate Degree","Excellent","No"
2989,33,"Non-binary","Associate Degree","Okay","No"
2990,29,"Non-binary","Bachelor's Degree","Okay","No"
2991,76,"Male","Associate Degree","Terrible","No"
2992,18,"Female","High School","Bad","Yes"
2993,18,"Female","Bachelor's Degree","Good","No"
2994,51,"Female","High School","Okay","Yes"
2995,55,"Male","High School","Good","Yes"
2996,36,"Male","Graduate Degree","Okay","No"
2997,35,"Non-binary","Bachelor's Degree","Good","Yes"
2998,73,"Female","High School","Okay","Yes"
2999,18,"Male","High School","Excellent","No"
3000,18,"Non-binary","Associate Degree","Terrible","Yes"
3001,55,"Non-binary","Associate Degree","Bad","Yes"
3002,48,"Non-binary","Associate Degree","Bad","No"
3003,66,"Female","Associate Degree","Okay","Yes"
3004,24,"Male","High School","Terrible","Yes"
3005,18,"Male","Bachelor's Degree","Bad","Yes"
3006,59,"Non-binary","Bachelor's Degree","Okay","Yes"
3007,76,"Female","Graduate Degree","Good","No"
3008,39,"Non-binary","Associate Degree","Excellent","No"
3009,78,"Non-binary","Graduate Degree","Good","No"
3010,72,"Male","Associate Degree","Okay","Yes"
3011,50,"Female","High School","Good","No"
3012,49,"Non-binary","Bachelor's Degree","Okay","Yes"
3013,18,"Male","Associate Degree","Bad","Yes"
3014,80,"Male","Bachelor's Degree","Okay","Yes"
3015,47,"Female","High School","Bad","Yes"
3016,37,"Male","High School","Terrible","No"
3017,25,"Female","Associate Degree","Okay","Yes"
3018,18,"Female","Associate Degree","Okay","Yes"
3019,34,"Female","Bachelor's Degree","Okay","No"
3020,19,"Male","Associate Degree","Bad","No"
3021,41,"Non-binary","Graduate Degree","Bad","No"
3022,71,"Male","Graduate Degree","Bad","Yes"
3023,59,"Male","High School","Okay","No"
3024,18,"Male","Graduate Degree","Bad","Yes"
3025,43,"Female","Bachelor's Degree","Okay","Yes"
3026,19,"Male","Graduate Degree","Okay","No"
3027,18,"Female","Bachelor's Degree","Good","No"
3028,18,"Non-binary","Graduate Degree","Good","Yes"
3029,18,"Non-binary","High School","Bad","Yes"
3030,20,"Female","Associate Degree","Bad","No"
3031,67,"Male","Bachelor's Degree","Bad","No"
3032,18,"Female","High School","Okay","Yes"
3033,47,"Male","High School","Bad","Yes"
3034,41,"Male","Graduate Degree","Bad","No"
3035,37,"Female","High School","Bad","Yes"
3036,40,"Female","Associate Degree","Excellent","Yes"
3037,33,"Non-binary","Graduate Degree","Okay","No"
3038,38,"Non-binary","High School","Okay","Yes"
3039,73,"Female","Associate Degree","Good","No"
3040,71,"Non-binary","Bachelor's Degree","Excellent","No"
3041,49,"Female","Associate Degree","Good","No"
3042,31,"Non-binary","Bachelor's Degree","Okay","Yes"
3043,64,"Female","High School","Terrible","No"
3044,18,"Female","Bachelor's Degree","Terrible","Yes"
3045,39,"Female","Graduate Degree","Terrible","Yes"
3046,44,"Female","Bachelor's Degree","Bad","No"
3047,55,"Non-binary","Bachelor's Degree","Okay","No"
3048,32,"Non-binary","Associate Degree","Terrible","No"
3049,80,"Male","High School","Okay","No"
3050,22,"Non-binary","Graduate Degree","Terrible","No"
3051,19,"Male","Bachelor's Degree","Okay","No"
3052,80,"Male","Bachelor's Degree","Terrible","Yes"
3053,51,"Male","Associate Degree","Okay","Yes"
3054,31,"Non-binary","Graduate Degree","Good","Yes"
3055,21,"Non-binary","Bachelor's Degree","Bad","Yes"
3056,50,"Male","Associate Degree","Good","Yes"
3057,45,"Male","Bachelor's Degree","Okay","No"
3058,18,"Non-binary","Associate Degree","Excellent","No"
3059,38,"Female","Associate Degree","Bad","Yes"
3060,52,"Non-binary","Bachelor's Degree","Bad","No"
3061,49,"Male","Bachelor's Degree","Bad","Yes"
3062,18,"Non-binary","High School","Good","No"
3063,79,"Female","High School","Bad","Yes"
3064,18,"Female","Bachelor's Degree","Good","Yes"
3065,44,"Male","Associate Degree","Excellent","Yes"
3066,62,"Non-binary","Bachelor's Degree","Okay","No"
3067,42,"Male","Associate Degree","Excellent","Yes"
3068,69,"Male","Bachelor's Degree","Terrible","No"
3069,80,"Male","Bachelor's Degree","Terrible","No"
3070,62,"Female","High School","Okay","Yes"
3071,60,"Female","Graduate Degree","Good","Yes"
3072,19,"Female","Bachelor's Degree","Good","No"
3073,74,"Male","Bachelor's Degree","Okay","Yes"
3074,39,"Non-binary","Bachelor's Degree","Excellent","Yes"
3075,48,"Non-binary","High School","Bad","No"
3076,42,"Female","Associate Degree","Terrible","Yes"
3077,36,"Male","High School","Okay","Yes"
3078,80,"Female","Associate Degree","Bad","No"
3079,80,"Non-binary","Bachelor's Degree","Okay","Yes"
3080,23,"Female","Graduate Degree","Bad","No"
3081,32,"Female","Graduate Degree","Terrible","Yes"
3082,40,"Female","Graduate Degree","Terrible","No"
3083,18,"Male","Graduate Degree","Good","No"
3084,52,"Male","Associate Degree","Okay","No"
3085,52,"Male","Associate Degree","Excellent","No"
3086,67,"Non-binary","High School","Bad","Yes"
3087,23,"Female","Bachelor's Degree","Terrible","Yes"
3088,60,"Male","Bachelor's Degree","Good","No"
3089,58,"Male","High School","Okay","Yes"
3090,37,"Male","Bachelor's Degree","Okay","Yes"
3091,18,"Female","High School","Okay","Yes"
3092,35,"Male","Graduate Degree","Okay","No"
3093,73,"Female","High School","Terrible","Yes"
3094,54,"Female","Graduate Degree","Okay","No"
3095,52,"Female","Associate Degree","Excellent","Yes"
3096,18,"Female","Associate Degree","Good","Yes"
3097,40,"Female","Associate Degree","Good","No"
3098,52,"Female","Bachelor's Degree","Bad","No"
3099,18,"Female","Graduate Degree","Bad","No"
3100,30,"Male","Graduate Degree","Okay","No"
3101,46,"Non-binary","Bachelor's Degree","Terrible","No"
3102,43,"Female","High School","Okay","Yes"
3103,59,"Female","Bachelor's Degree","Bad","No"
3104,37,"Female","Bachelor's Degree","Good","No"
3105,39,"Female","Graduate Degree","Excellent","No"
3106,62,"Female","Associate Degree","Good","No"
3107,41,"Non-binary","Graduate Degree","Good","Yes"
3108,18,"Female","Bachelor's Degree","Okay","No"
3109,22,"Non-binary","Associate Degree","Bad","No"
3110,55,"Female","Associate Degree","Good","Yes"
3111,55,"Female","Associate Degree","Terrible","Yes"
3112,54,"Male","Associate Degree","Terrible","Yes"
3113,51,"Male","Graduate Degree","Excellent","No"
3114,63,"Male","Associate Degree","Bad","Yes"
3115,31,"Female","High School","Excellent","Yes"
3116,68,"Non-binary","Associate Degree","Good","No"
3117,18,"Male","Associate Degree","Terrible","Yes"
3118,55,"Female","Associate Degree","Okay","No"
3119,32,"Female","Associate Degree","Good","No"
3120,54,"Male","Associate Degree","Okay","No"
3121,38,"Female","High School","Terrible","Yes"
3122,30,"Female","Associate Degree","Terrible","No"
3123,41,"Male","Bachelor's Degree","Bad","No"
3124,46,"Male","High School","Terrible","Yes"
3125,40,"Female","Bachelor's Degree","Bad","No"
3126,36,"Male","High School","Excellent","No"
3127,22,"Male","Associate Degree","Okay","Yes"
3128,64,"Male","High School","Excellent","Yes"
3129,41,"Female","Bachelor's Degree","Okay","No"
3130,45,"Non-binary","Associate Degree","Okay","No"
3131,67,"Male","Associate Degree","Bad","Yes"
3132,74,"Non-binary","Associate Degree","Bad","Yes"
3133,71,"Non-binary","Graduate Degree","Excellent","Yes"
3134,34,"Male","Bachelor's Degree","Good","Yes"
3135,53,"Male","Bachelor's Degree","Bad","No"
3136,73,"Non-binary","Associate Degree","Good","No"
3137,18,"Female","Bachelor's Degree","Terrible","Yes"
3138,18,"Male","Bachelor's Degree","Okay","Yes"
3139,42,"Non-binary","Graduate Degree","Excellent","Yes"
3140,28,"Male","Associate Degree","Excellent","No"
3141,80,"Male","Bachelor's Degree","Bad","Yes"
3142,65,"Non-binary","Associate Degree","Excellent","No"
3143,18,"Female","Associate Degree","Okay","No"
3144,18,"Non-binary","Bachelor's Degree","Okay","Yes"
3145,57,"Male","Bachelor's Degree","Okay","No"
3146,48,"Female","High School","Okay","Yes"
3147,80,"Male","Associate Degree","Bad","No"
3148,44,"Female","Bachelor's Degree","Okay","No"
3149,77,"Non-binary","Graduate Degree","Bad","No"
3150,18,"Female","Associate Degree","Okay","Yes"
3151,19,"Male","Bachelor's Degree","Excellent","Yes"
3152,43,"Male","Associate Degree","Excellent","Yes"
3153,30,"Non-binary","Graduate Degree","Terrible","Yes"
3154,24,"Non-binary","Graduate Degree","Bad","Yes"
3155,18,"Male","Bachelor's Degree","Okay","No"
3156,29,"Non-binary","Graduate Degree","Okay","No"
3157,18,"Female","High School","Bad","Yes"
3158,27,"Male","Graduate Degree","Terrible","No"
3159,58,"Male","Bachelor's Degree","Terrible","Yes"
3160,25,"Non-binary","High School","Okay","Yes"
3161,58,"Female","Graduate Degree","Good","Yes"
3162,47,"Female","High School","Good","Yes"
